Genotype,Tank,Individual,Treatment,ranked_fc,average_fc
Lansing,1,1,control,1,1.199134627
Lansing,1,2,control,1,0.879715216
Lansing,1,3,control,1,0.947959869
Lansing,2,1,control,1,1.189868017
Lansing,2,2,control,1,1.283957412
Lansing,2,3,control,1,0.6545617
Lansing,3,1,control,1,2.468995123
Lansing,3,2,control,1,1.024786443
Lansing,3,3,control,1,0.395226809
M457,1,1,control,1,1.67660374
M457,1,2,control,1,0.669878453
M457,1,3,control,1,0.890376236
M457,2,1,control,1,1.579980369
M457,2,2,control,1,0.617211514
M457,2,3,control,1,1.025449529
M457,3,1,control,1,2.725800065
M457,3,2,control,1,0.547629236
M457,3,3,control,1,0.669914498
Townline,1,1,control,1,0.806200249
Townline,1,2,control,1,1.377310707
Townline,1,3,control,1,0.900585911
Townline,2,1,control,1,3.321867777
Townline,2,2,control,1,0.457026626
Townline,2,3,control,1,0.658682546
Townline,3,1,control,1,1.968289182
Townline,3,2,control,1,0.934183499
Townline,3,3,control,1,0.543849712
Lansing,1,4,fluridone,1.124761648,1.186507662
Lansing,1,5,fluridone,1.319923878,1.500399055
Lansing,1,6,fluridone,0.967063259,0.806467628
Lansing,2,4,fluridone,1.629028797,1.268756099
Lansing,2,5,fluridone,2.114596399,1.77716887
Lansing,2,6,fluridone,1.478388837,2.258593554
Lansing,3,4,fluridone,0.91911056,0.372260986
Lansing,3,5,fluridone,0.561593811,1.420940579
Lansing,3,6,fluridone,1.291263769,1.260032056
M457,1,4,fluridone,1.152494925,1.720453792
M457,1,5,fluridone,2.174744866,1.297113215
M457,1,6,fluridone,1.499474512,1.684090895
M457,2,4,fluridone,1.332660465,0.84346647
M457,2,5,fluridone,5.907156456,5.760553092
M457,2,6,fluridone,4.492008717,7.277908168
M457,3,4,fluridone,2.088782013,0.766300522
M457,3,5,fluridone,1.715724419,3.133003692
M457,3,6,fluridone,1.571573016,2.345930743
Townline,1,4,fluridone,0.944835181,1.171960913
Townline,1,5,fluridone,0.747232764,0.82971847
Townline,1,6,fluridone,1.062203383,0.771215513
Townline,2,4,fluridone,0.927194409,0.279118397
Townline,2,5,fluridone,1.084908537,2.373840986
Townline,2,6,fluridone,1.529190751,2.321589909
Townline,3,4,fluridone,0.549346437,0.279098438
Townline,3,5,fluridone,0.752686249,1.383996778
Townline,3,6,fluridone,1.249181144,1.337190333
